20230307-171016
Ley de Fitts [ 1D - Original - Completo - Secuencial ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,512,128,810,1057,682,406,704,540,1
1,2,512,128,810,888,1252,432,1216,540,1
1,3,512,128,810,820,654,449,704,540,1
1,4,512,128,810,797,1261,445,1216,540,1
1,5,512,128,810,797,678,459,704,540,1
1,6,512,128,810,725,1260,472,1216,540,1
1,7,512,128,810,581,696,480,704,540,1
1,8,512,128,810,518,1191,492,1216,540,1
1,9,512,128,810,870,658,505,704,540,1
1,10,512,128,810,470,1176,505,1216,540,1
1,11,512,128,810,708,760,512,704,540,1
1,12,512,128,810,583,1243,577,1216,540,1
1,13,512,128,810,677,747,585,704,540,1
1,14,512,128,810,437,1180,587,1216,540,1
1,15,512,128,810,576,777,600,704,540,0
2,1,128,32,810,826,910,560,896,540,1
2,2,128,32,810,934,1024,550,1024,540,1
2,3,128,32,810,814,889,563,896,540,1
2,4,128,32,810,845,1012,557,1024,540,1
2,5,128,32,810,757,901,561,896,540,1
2,6,128,32,810,557,1027,557,1024,540,1
2,7,128,32,810,814,911,550,896,540,1
2,8,128,32,810,1149,1008,552,1024,540,1
2,9,128,32,810,606,899,559,896,540,1
2,10,128,32,810,754,1030,564,1024,540,1
2,11,128,32,810,751,898,570,896,540,1
2,12,128,32,810,821,1019,575,1024,540,1
2,13,128,32,810,757,910,577,896,540,1
2,14,128,32,810,821,1010,585,1024,540,1
2,15,128,32,810,766,907,590,896,540,1
3,1,256,128,810,651,855,564,832,540,1
3,2,256,128,810,413,1074,564,1088,540,1
3,3,256,128,810,517,882,564,832,540,1
3,4,256,128,810,429,1089,569,1088,540,1
3,5,256,128,810,501,881,567,832,540,1
3,6,256,128,810,445,1057,567,1088,540,1
3,7,256,128,810,637,881,573,832,540,1
3,8,256,128,810,445,1119,604,1088,540,1
3,9,256,128,810,510,888,609,832,540,1
3,10,256,128,810,476,1069,609,1088,540,1
3,11,256,128,810,501,884,605,832,540,1
3,12,256,128,810,669,1133,619,1088,540,1
3,13,256,128,810,1102,883,601,832,540,1
3,14,256,128,810,540,1012,599,1088,540,0
3,15,256,128,810,1078,889,588,832,540,1
4,1,1024,128,810,1540,489,582,448,540,1
4,2,1024,128,810,1150,1416,647,1472,540,1
4,3,1024,128,810,798,485,636,448,540,1
4,4,1024,128,810,885,1443,582,1472,540,1
4,5,1024,128,810,973,426,599,448,540,1
4,6,1024,128,810,1342,1423,624,1472,540,1
4,7,1024,128,810,836,421,578,448,540,1
4,8,1024,128,810,580,1478,573,1472,540,1
4,9,1024,128,810,798,473,567,448,540,1
4,10,1024,128,810,742,1423,560,1472,540,1
4,11,1024,128,810,670,497,586,448,540,1
4,12,1024,128,810,766,1469,633,1472,540,1
4,13,1024,128,810,606,486,614,448,540,1
4,14,1024,128,810,796,1450,650,1472,540,1
4,15,1024,128,810,822,450,626,448,540,1
5,1,128,64,810,803,884,582,896,540,1
5,2,128,64,810,1060,1016,632,1024,540,1
5,3,128,64,810,477,909,631,896,540,1
5,4,128,64,810,637,1035,632,1024,540,1
5,5,128,64,810,413,912,625,896,540,1
5,6,128,64,810,540,989,616,1024,540,0
5,7,128,64,810,493,897,630,896,540,1
5,8,128,64,810,469,1030,639,1024,540,1
5,9,128,64,810,405,901,641,896,540,1
5,10,128,64,810,430,1025,640,1024,540,1
5,11,128,64,810,452,897,634,896,540,1
5,12,128,64,810,492,1014,642,1024,540,1
5,13,128,64,810,630,887,640,896,540,1
5,14,128,64,810,747,991,640,1024,540,0
5,15,128,64,810,517,918,650,896,540,1
6,1,1024,16,810,1065,448,649,448,540,1
6,2,1024,16,810,1494,1476,693,1472,540,1
6,3,1024,16,810,1076,450,639,448,540,1
6,4,1024,16,810,1428,1465,633,1472,540,1
6,5,1024,16,810,1766,450,634,448,540,1
6,6,1024,16,810,1532,1469,675,1472,540,1
6,7,1024,16,810,1518,451,648,448,540,1
6,8,1024,16,810,1685,1467,679,1472,540,1
6,9,1024,16,810,2013,449,723,448,540,1
6,10,1024,16,810,1381,1474,633,1472,540,1
6,11,1024,16,810,1431,452,610,448,540,1
6,12,1024,16,810,1811,1469,599,1472,540,1
6,13,1024,16,810,1613,444,624,448,540,1
6,14,1024,16,810,1004,1468,601,1472,540,1
6,15,1024,16,810,1293,453,602,448,540,1
7,1,256,64,810,794,845,549,832,540,1
7,2,256,64,810,693,1098,566,1088,540,1
7,3,256,64,810,581,831,563,832,540,1
7,4,256,64,810,1020,1064,557,1088,540,1
7,5,256,64,810,582,835,580,832,540,1
7,6,256,64,810,502,1091,557,1088,540,1
7,7,256,64,810,917,847,587,832,540,1
7,8,256,64,810,613,1071,568,1088,540,1
7,9,256,64,810,621,840,587,832,540,1
7,10,256,64,810,638,1077,574,1088,540,1
7,11,256,64,810,654,857,605,832,540,1
7,12,256,64,810,838,1109,597,1088,540,1
7,13,256,64,810,836,854,592,832,540,1
7,14,256,64,810,741,1091,594,1088,540,1
7,15,256,64,810,813,837,592,832,540,1
8,1,256,16,810,762,841,588,832,540,0
8,2,256,16,810,1389,1081,578,1088,540,1
8,3,256,16,810,1574,824,601,832,540,1
8,4,256,16,810,940,1081,584,1088,540,1
8,5,256,16,810,1228,837,587,832,540,1
8,6,256,16,810,918,1091,585,1088,540,1
8,7,256,16,810,1062,836,583,832,540,1
8,8,256,16,810,1438,1085,561,1088,540,1
8,9,256,16,810,1453,834,588,832,540,1
8,10,256,16,810,1037,1091,548,1088,540,1
8,11,256,16,810,1261,834,566,832,540,1
8,12,256,16,810,1069,1085,564,1088,540,1
8,13,256,16,810,869,835,565,832,540,1
8,14,256,16,810,1302,1087,577,1088,540,1
8,15,256,16,810,1037,837,588,832,540,1
9,1,1024,32,810,883,448,551,448,540,1
9,2,1024,32,810,1212,1463,500,1472,540,1
9,3,1024,32,810,799,445,549,448,540,1
9,4,1024,32,810,1454,1465,517,1472,540,1
9,5,1024,32,810,1080,454,568,448,540,1
9,6,1024,32,810,1006,1472,530,1472,540,1
9,7,1024,32,810,1181,443,551,448,540,1
9,8,1024,32,810,925,1465,523,1472,540,1
9,9,1024,32,810,1389,451,537,448,540,1
9,10,1024,32,810,1253,1460,475,1472,540,1
9,11,1024,32,810,797,460,445,448,540,1
9,12,1024,32,810,1069,1463,433,1472,540,1
9,13,1024,32,810,1156,457,406,448,540,1
9,14,1024,32,810,1253,1479,532,1472,540,1
9,15,1024,32,810,861,450,531,448,540,1
10,1,128,16,810,708,897,555,896,540,1
10,2,128,16,810,773,1027,574,1024,540,1
10,3,128,16,810,733,896,570,896,540,1
10,4,128,16,810,1077,1022,588,1024,540,1
10,5,128,16,810,766,897,573,896,540,1
10,6,128,16,810,918,1025,565,1024,540,1
10,7,128,16,810,1061,899,579,896,540,1
10,8,128,16,810,797,1024,586,1024,540,1
10,9,128,16,810,965,904,585,896,540,0
10,10,128,16,810,829,1021,586,1024,540,1
10,11,128,16,810,780,894,597,896,540,1
10,12,128,16,810,502,1022,594,1024,540,1
10,13,128,16,810,1077,902,617,896,540,1
10,14,128,16,810,1149,1024,615,1024,540,1
10,15,128,16,810,693,899,619,896,540,1
