20230307-180844
Ley de Fitts [ 1D - Original - Completo - Random ] ( Full HD (1080p) )
15
IDTest,IDRepetition,A(pixels),W(pixels),H(pixels),MT(ms),X(pixels),Y(pixels),XTarget(pixels),YTarget(pixels),Correct
1,1,128,64,810,459,885,474,896,540,1
1,2,128,64,810,543,899,459,896,540,1
1,3,128,64,810,589,1037,451,1024,540,1
1,4,128,64,810,647,1023,473,1024,540,1
1,5,128,64,810,583,1008,476,1024,540,1
1,6,128,64,810,446,1000,475,1024,540,1
1,7,128,64,810,621,918,471,896,540,1
1,8,128,64,810,559,911,461,896,540,1
1,9,128,64,810,565,1034,437,1024,540,1
1,10,128,64,810,477,893,455,896,540,1
1,11,128,64,810,487,896,447,896,540,1
1,12,128,64,810,509,1047,425,1024,540,1
1,13,128,64,810,623,1024,424,1024,540,1
1,14,128,64,810,487,1023,441,1024,540,1
1,15,128,64,810,613,912,453,896,540,1
2,1,1024,64,810,516,451,452,448,540,1
2,2,1024,64,810,430,451,452,448,540,1
2,3,1024,64,810,968,1464,337,1472,540,1
2,4,1024,64,810,646,434,440,448,540,1
2,5,1024,64,810,732,1479,368,1472,540,1
2,6,1024,64,810,732,433,447,448,540,1
2,7,1024,64,810,743,1476,355,1472,540,1
2,8,1024,64,810,679,1484,431,1472,540,1
2,9,1024,64,810,957,464,483,448,540,1
2,10,1024,64,810,646,449,463,448,540,1
2,11,1024,64,810,415,453,462,448,540,1
2,12,1024,64,810,342,453,462,448,540,1
2,13,1024,64,810,943,1463,370,1472,540,1
2,14,1024,64,810,805,446,499,448,540,1
2,15,1024,64,810,698,464,418,448,540,1
3,1,128,32,810,683,906,522,896,540,1
3,2,128,32,810,643,902,527,896,540,1
3,3,128,32,810,610,1019,518,1024,540,1
3,4,128,32,810,493,902,532,896,540,1
3,5,128,32,810,727,906,522,896,540,1
3,6,128,32,810,479,900,532,896,540,1
3,7,128,32,810,854,1033,539,1024,540,1
3,8,128,32,810,533,899,560,896,540,1
3,9,128,32,810,533,1010,551,1024,540,1
3,10,128,32,810,421,887,572,896,540,1
3,11,128,32,810,500,1022,554,1024,540,1
3,12,128,32,810,645,906,569,896,540,1
3,13,128,32,810,484,1033,558,1024,540,1
3,14,128,32,810,633,1037,565,1024,540,1
3,15,128,32,810,596,907,585,896,540,1
4,1,128,16,810,741,1019,555,1024,540,1
4,2,128,16,810,461,1019,555,1024,540,1
4,3,128,16,810,368,1019,555,1024,540,1
4,4,128,16,810,1215,896,556,896,540,1
4,5,128,16,810,812,1030,539,1024,540,1
4,6,128,16,810,1414,898,550,896,540,1
4,7,128,16,810,943,898,538,896,540,1
4,8,128,16,810,664,896,533,896,540,1
4,9,128,16,810,366,896,533,896,540,1
4,10,128,16,810,783,1021,511,1024,540,1
4,11,128,16,810,637,898,530,896,540,1
4,12,128,16,810,567,890,528,896,540,1
4,13,128,16,810,383,897,529,896,540,1
4,14,128,16,810,660,1022,514,1024,540,1
4,15,128,16,810,615,1022,519,1024,540,1
5,1,512,16,810,1107,1212,399,1216,540,1
5,2,512,16,810,1141,707,480,704,540,1
5,3,512,16,810,791,704,478,704,540,1
5,4,512,16,810,1174,1217,347,1216,540,1
5,5,512,16,810,805,708,500,704,540,1
5,6,512,16,810,1133,1222,340,1216,540,1
5,7,512,16,810,927,1217,383,1216,540,1
5,8,512,16,810,765,704,479,704,540,1
5,9,512,16,810,733,1214,365,1216,540,1
5,10,512,16,810,959,1215,454,1216,540,1
5,11,512,16,810,1205,704,515,704,540,1
5,12,512,16,810,761,711,519,704,540,1
5,13,512,16,810,735,706,519,704,540,1
5,14,512,16,810,664,704,529,704,540,1
5,15,512,16,810,390,704,530,704,540,1
6,1,256,64,810,442,861,586,832,540,1
6,2,256,64,810,591,836,580,832,540,1
6,3,256,64,810,549,1116,498,1088,540,1
6,4,256,64,810,478,835,573,832,540,1
6,5,256,64,810,518,800,573,832,540,1
6,6,256,64,810,423,821,573,832,540,1
6,7,256,64,810,343,824,573,832,540,1
6,8,256,64,810,350,824,573,832,540,1
6,9,256,64,810,760,1088,536,1088,540,1
6,10,256,64,810,567,1086,548,1088,540,1
6,11,256,64,810,367,1070,555,1088,540,1
6,12,256,64,810,357,1070,555,1088,540,1
6,13,256,64,810,367,1070,555,1088,540,1
6,14,256,64,810,336,1070,555,1088,540,1
6,15,256,64,810,366,1070,555,1088,540,1
7,1,256,32,810,597,832,548,832,540,1
7,2,256,32,810,869,1077,544,1088,540,1
7,3,256,32,810,958,838,568,832,540,1
7,4,256,32,810,813,1090,481,1088,540,1
7,5,256,32,810,735,1092,491,1088,540,1
7,6,256,32,810,591,1093,522,1088,540,1
7,7,256,32,810,583,1080,530,1088,540,1
7,8,256,32,810,814,825,585,832,540,1
7,9,256,32,810,669,1102,535,1088,540,1
7,10,256,32,810,669,826,626,832,540,1
7,11,256,32,810,592,846,588,832,540,1
7,12,256,32,810,765,1076,516,1088,540,1
7,13,256,32,810,893,823,585,832,540,1
7,14,256,32,810,1032,839,551,832,540,1
7,15,256,32,810,660,1079,505,1088,540,1
8,1,512,128,810,701,746,555,704,540,1
8,2,512,128,810,454,775,555,704,540,0
8,3,512,128,810,622,1198,580,1216,540,1
8,4,512,128,810,663,1205,542,1216,540,1
8,5,512,128,810,654,749,593,704,540,1
8,6,512,128,810,599,732,559,704,540,1
8,7,512,128,810,565,1186,526,1216,540,1
8,8,512,128,810,436,708,589,704,540,1
8,9,512,128,810,510,1234,543,1216,540,1
8,10,512,128,810,517,732,591,704,540,1
8,11,512,128,810,639,737,557,704,540,1
8,12,512,128,810,503,721,563,704,540,1
8,13,512,128,810,327,740,558,704,540,1
8,14,512,128,810,350,740,558,704,540,1
8,15,512,128,810,311,740,558,704,540,1
9,1,256,16,810,884,830,588,832,540,1
9,2,256,16,810,1040,832,587,832,540,1
9,3,256,16,810,917,1086,553,1088,540,1
9,4,256,16,810,701,831,589,832,540,1
9,5,256,16,810,782,1088,545,1088,540,1
9,6,256,16,810,1079,1092,593,1088,540,1
9,7,256,16,810,1095,1084,606,1088,540,1
9,8,256,16,810,1165,828,637,832,540,1
9,9,256,16,810,949,1087,618,1088,540,1
9,10,256,16,810,997,834,645,832,540,1
9,11,256,16,810,672,834,634,832,540,1
9,12,256,16,810,748,1090,609,1088,540,1
9,13,256,16,810,743,1086,621,1088,540,1
9,14,256,16,810,1038,834,650,832,540,1
9,15,256,16,810,1022,1088,621,1088,540,1
10,1,1024,32,810,884,447,499,448,540,1
10,2,1024,32,810,350,464,495,448,540,0
10,3,1024,32,810,1205,1464,367,1472,540,1
10,4,1024,32,810,1111,1473,408,1472,540,1
10,5,1024,32,810,872,1478,447,1472,540,1
10,6,1024,32,810,559,1468,453,1472,540,1
10,7,1024,32,810,1093,452,554,448,540,1
10,8,1024,32,810,551,446,546,448,540,1
10,9,1024,32,810,735,458,521,448,540,1
10,10,1024,32,810,958,1481,396,1472,540,1
10,11,1024,32,810,655,1459,413,1472,540,1
10,12,1024,32,810,671,1470,458,1472,540,1
10,13,1024,32,810,1269,460,556,448,540,1
10,14,1024,32,810,1310,1482,371,1472,540,1
10,15,1024,32,810,399,1469,378,1472,540,1
11,1,512,64,810,619,1207,434,1216,540,1
11,2,512,64,810,647,1207,488,1216,540,1
11,3,512,64,810,725,692,542,704,540,1
11,4,512,64,810,552,715,538,704,540,1
11,5,512,64,810,564,1191,477,1216,540,1
11,6,512,64,810,383,1191,477,1216,540,1
11,7,512,64,810,360,1191,477,1216,540,1
11,8,512,64,810,336,1191,477,1216,540,1
11,9,512,64,810,823,728,543,704,540,1
11,10,512,64,810,318,728,543,704,540,1
11,11,512,64,810,327,728,543,704,540,1
11,12,512,64,810,719,1217,474,1216,540,1
11,13,512,64,810,613,705,496,704,540,1
11,14,512,64,810,726,1200,429,1216,540,1
11,15,512,64,810,844,746,529,704,540,0
12,1,1024,128,810,501,440,525,448,540,1
12,2,1024,128,810,351,474,518,448,540,1
12,3,1024,128,810,1037,1510,398,1472,540,1
12,4,1024,128,810,742,485,515,448,540,1
12,5,1024,128,810,487,461,484,448,540,1
12,6,1024,128,810,343,462,484,448,540,1
12,7,1024,128,810,342,462,484,448,540,1
12,8,1024,128,810,710,1458,492,1472,540,1
12,9,1024,128,810,615,1403,496,1472,540,0
12,10,1024,128,810,701,506,564,448,540,1
12,11,1024,128,810,1141,1478,452,1472,540,1
12,12,1024,128,810,1189,469,466,448,540,1
12,13,1024,128,810,911,480,364,448,540,1
12,14,1024,128,810,768,406,400,448,540,1
12,15,1024,128,810,709,1456,388,1472,540,1
13,1,512,32,810,604,706,527,704,540,1
13,2,512,32,810,335,716,528,704,540,1
13,3,512,32,810,334,716,528,704,540,1
13,4,512,32,810,1008,1218,471,1216,540,1
13,5,512,32,810,374,1214,474,1216,540,1
13,6,512,32,810,813,710,533,704,540,1
13,7,512,32,810,830,1212,517,1216,540,1
13,8,512,32,810,631,1210,525,1216,540,1
13,9,512,32,810,830,712,540,704,540,1
13,10,512,32,810,989,1224,504,1216,540,1
13,11,512,32,810,725,708,547,704,540,1
13,12,512,32,810,1286,1220,493,1216,540,1
13,13,512,32,810,701,710,573,704,540,1
13,14,512,32,810,821,1206,504,1216,540,1
13,15,512,32,810,879,1216,556,1216,540,1
14,1,256,128,810,524,866,564,832,540,1
14,2,256,128,810,366,866,564,832,540,1
14,3,256,128,810,470,1098,531,1088,540,1
14,4,256,128,810,352,1098,533,1088,540,1
14,5,256,128,810,622,863,574,832,540,1
14,6,256,128,810,343,868,574,832,540,1
14,7,256,128,810,327,869,574,832,540,1
14,8,256,128,810,597,1034,531,1088,540,1
14,9,256,128,810,445,895,570,832,540,1
14,10,256,128,810,597,1038,536,1088,540,1
14,11,256,128,810,615,1089,515,1088,540,1
14,12,256,128,810,533,857,572,832,540,1
14,13,256,128,810,504,842,552,832,540,1
14,14,256,128,810,405,1048,540,1088,540,1
14,15,256,128,810,567,1103,561,1088,540,1
15,1,128,128,810,580,978,516,1024,540,1
15,2,128,128,810,359,973,517,1024,540,1
15,3,128,128,810,565,948,525,896,540,1
15,4,128,128,810,647,937,534,896,540,1
15,5,128,128,810,437,1011,516,1024,540,1
15,6,128,128,810,511,980,532,1024,540,1
15,7,128,128,810,472,1019,532,1024,540,1
15,8,128,128,810,520,1015,549,1024,540,1
15,9,128,128,810,421,927,567,896,540,1
15,10,128,128,810,382,1000,548,1024,540,1
15,11,128,128,810,333,922,563,896,540,1
15,12,128,128,810,374,994,544,1024,540,1
15,13,128,128,810,334,919,557,896,540,1
15,14,128,128,810,365,994,540,1024,540,1
15,15,128,128,810,333,925,548,896,540,1
16,1,1024,16,810,1021,449,523,448,540,1
16,2,1024,16,810,1302,1470,502,1472,540,1
16,3,1024,16,810,469,1470,502,1472,540,1
16,4,1024,16,810,1097,1469,515,1472,540,1
16,5,1024,16,810,400,1469,517,1472,540,1
16,6,1024,16,810,718,1469,517,1472,540,1
16,7,1024,16,810,1703,447,462,448,540,1
16,8,1024,16,810,974,448,455,448,540,1
16,9,1024,16,810,727,445,456,448,540,1
16,10,1024,16,810,1189,1470,359,1472,540,1
16,11,1024,16,810,805,445,465,448,540,1
16,12,1024,16,810,631,448,459,448,540,1
16,13,1024,16,810,399,451,459,448,540,1
16,14,1024,16,810,398,454,458,448,540,1
16,15,1024,16,810,414,454,458,448,540,1
